locus_tag	log2FoldChange	padj	Gene	Product	COG_category	KEGG_Pathway
IODOLM_00904	3.85513824202033	2.04823731949486e-99		hypothetical protein	M	-
IODOLM_00910	2.71533014035866	1.97134240889388e-67		Pyruvate dehydrogenase [ubiquinone]	C	ko00620,ko01100,map00620,map01100
IODOLM_00913	3.25990575548221	1.9944761535231e-41	lysO	L-lysine exporter LysO	S	-
IODOLM_00924	-2.30762050794532	1.49186094186248e-51		ABC-type xenobiotic transporter	P	ko02010,map02010
IODOLM_00925	-2.63440879947685	9.43776886886576e-80		ABC transmembrane type-1 domain-containing protein	P	ko02010,map02010
IODOLM_00960	-2.09435621547364	2.0927550799493e-46	mukF	Chromosome partition protein MukF	D	-
IODOLM_00975	2.22471860645047	1.75443626524545e-05		FMN reductase (NADPH)	S	ko00740,ko00920,ko01100,map00740,map00920,map01100
IODOLM_00984	2.20242802528674	1.17534153106342e-41	zapC	cell division protein ZapC	D	-
IODOLM_00991	-3.11054307235779	6.38818679529735e-46		hypothetical protein	J	-
IODOLM_01023	2.77168323175266	1.00802397124299e-10	gfcC	Uncharacterized protein GfcC	S	-
IODOLM_01024	2.99094614312418	5.56529707331066e-12		hypothetical protein	M	-
IODOLM_01025	4.35572713775383	8.50781289352776e-50		hypothetical protein	-	-
IODOLM_01026	3.7022187546609	4.26939249984838e-57	insB	InsB	-	-
IODOLM_01028	2.05745595526163	1.70759965012237e-27		CSD domain-containing protein	K	-
IODOLM_01029	2.79320490378284	7.77832995294814e-18	gnsA	Protein GnsA	S	-
IODOLM_01038	2.11319782501878	8.30086946390118e-43		Curved DNA-binding protein	O	-
IODOLM_01039	2.30786367953557	6.58044976229966e-06	yccE	Uncharacterized protein YccE	-	-
IODOLM_01043	3.31071227837868	9.81157373741497e-54		hypothetical protein	S	-
IODOLM_01052	2.15593621347349	2.27621548187223e-53	putA	Bifunctional protein PutA	K	ko00250,ko00330,ko01100,ko01110,ko01130,map00250,map00330,map01100,map01110,map01130
IODOLM_01057	2.887669397581	1.49793593179383e-65	efeO	iron uptake system protein EfeO	P	-
IODOLM_01058	2.53302442713312	3.7560104816196e-47		Deferrochelatase	P	-
IODOLM_01059	3.77382384962859	1.40260042406501e-83	phoH	Protein PhoH	T	-
IODOLM_01060	2.5575874432971	6.56363876270825e-14		hypothetical protein	S	ko02026,map02026
IODOLM_01061	3.17686293731005	9.34981806265139e-16		Poly-beta-1,6-N-acetyl-D-glucosamine synthase	M	ko02026,map02026
IODOLM_01062	2.08392064318281	1.11846638861797e-09		Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	M	ko02026,map02026
IODOLM_01064	3.27606430781404	7.60387298440428e-30		Putative diguanylate cyclase	T	-
IODOLM_01067	2.41753772205534	3.63884578836989e-19		hypothetical protein	T	-
IODOLM_01076	-2.00193131543147	1.67466743679239e-35	cgsG	curli production assembly/transport protein CsgG	M	-
IODOLM_01077	-2.44563394405221	1.46787562599678e-28	cgsF	curli production assembly/transport protein CsgF	S	-
IODOLM_01089	2.38354976470711	1.63374222148884e-08	yceK	Uncharacterized protein YceK	S	-
IODOLM_01095	2.58980895481603	2.30135170161283e-30		Cytochrome b561-like protein	C	-
IODOLM_01158	3.49614702883993	2.72142840701284e-05	ycfZ	Inner membrane protein YcfZ	S	-
IODOLM_01159	2.81523994611205	4.24665855953652e-07	ymfA	Inner membrane protein YmfA	S	-
IODOLM_01167	2.41579815293038	5.65860594550061e-52		Two-component response regulator	K	ko01503,ko02020,map01503,map02020
