locus_tag	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IODOLM_01590	36.2926914292948	1.620793902595	0.426597370600433	3.79935277217893	0.000145074465281563	0.000342234964998448
IODOLM_04123	88.911305400116	1.02364874192622	0.269773157144706	3.79447960190173	0.000147953444065642	0.000348838508206492
IODOLM_01868	20.0774063380841	1.70463677096914	0.449337261771692	3.79366884519643	0.000148437612427813	0.000349791595037216
IODOLM_00514	34.116078155906	4.76724955617763	1.25693331858097	3.79276250036849	0.000148980629984894	0.000350882258780353
IODOLM_01490	198.875801531362	-0.682670209507551	0.180007367679219	-3.79245704389223	0.000149164058831936	0.000351125293947581
IODOLM_03239	481.486286030513	-0.526928120747497	0.138964953719366	-3.7918058232985	0.00014955583167757	0.000351858236247874
IODOLM_03076	297.963152338499	0.802204113895329	0.211676302110928	3.78976817856038	0.00015078794124637	0.000354566378771691
IODOLM_03106	425.04029227677	-0.576708554230781	0.152186344259681	-3.78948950404331	0.000150957189245119	0.000354773716507326
IODOLM_02605	2320.13912788771	-0.431729185900663	0.114014910953809	-3.78660284246129	0.000152720904154181	0.0003587260743847
IODOLM_00318	198.444622761797	0.701723240040092	0.185344565595059	3.78604701889787	0.000153062725004242	0.000359336096898371
IODOLM_02543	488.280941161041	-0.55935989079131	0.147770470898403	-3.78532928392635	0.000153505183738013	0.000360181600020132
IODOLM_01431	10.1494051572272	-2.44403565832894	0.645719415405174	-3.78498090659914	0.00015372038003312	0.00036049323849139
IODOLM_04047	225.649009797109	0.896737407214082	0.236990764694759	3.78384958742618	0.000154421167668835	0.000361942704723524
IODOLM_02127	30.5199876017281	1.59521610000443	0.421781390790495	3.78209218053624	0.000155515747582694	0.000364313121746183
IODOLM_00700	146.362059095784	-0.833033743240674	0.220520477123231	-3.77757999668739	0.000158359646673146	0.000370776786432149
IODOLM_01676	120.86503954611	0.764409870246541	0.202544510320417	3.77403400880763	0.000160628849064724	0.000375687783809316
IODOLM_03987	840.375316462246	0.595576511784844	0.157808763821024	3.7740395233075	0.000160625296505918	0.000375687783809316
IODOLM_00715	863.796210253231	-0.918860142390082	0.24363110817877	-3.77152223810371	0.000162254694559453	0.000379287683435987
IODOLM_03487	172.848673166162	0.692017432796668	0.183497791303915	3.77125756053666	0.000162426916747755	0.000379487553490751
IODOLM_01042	1774.80194266246	0.61422716767765	0.163104544998725	3.76584949047527	0.00016598376372248	0.000387590688393581
IODOLM_02037	143.943794238198	-0.833043664733497	0.221243173151969	-3.76528528706869	0.000166359027827414	0.000388259789745474
IODOLM_03084	582.711526418889	0.631894012026611	0.167962543353049	3.76211266757494	0.000168484113328339	0.000393009850706189
IODOLM_04318	22.2026800556619	1.63908268741092	0.436613610398881	3.75408060667987	0.000173978874807099	0.000405610845048409
IODOLM_01820	190.716186123817	0.826302606307777	0.220176645304827	3.75290760363702	0.000174795294147663	0.000407297234925544
IODOLM_01055	102.4343752267	0.888105124416165	0.23673519846332	3.75147054675847	0.000175800407990442	0.000409421280131014
IODOLM_04322	471.584277135968	-0.64561142779543	0.172270995188185	-3.747650189692	0.000178498957153794	0.000415263921586924
IODOLM_04361	33.2210351204078	1.69135112720616	0.451298821485234	3.74774106796887	0.000178434314552131	0.000415263921586924
IODOLM_02182	278.045889595223	0.776250171765657	0.207617252519831	3.73885196121412	0.000184862542670694	0.000429731804817628
IODOLM_04268	113.768058927024	0.747589869301346	0.19995548141821	3.73878157277294	0.000184914302667183	0.000429731804817628
IODOLM_04315	115.91632493987	0.778239407002905	0.20818314635648	3.7382440443584	0.000185310022590043	0.000430422855018062
IODOLM_00244	173.861928362255	0.829148507656569	0.221963948844691	3.73550980676022	0.000187335278414874	0.00043489611583209
IODOLM_00511	246.162367736373	-0.787990765495865	0.211048502695416	-3.73369512425819	0.000188690884212524	0.000437810874503713
IODOLM_00124	101.485789603872	-0.775298205110274	0.207720174590962	-3.73241649077647	0.000189651581316329	0.00043980674077385
IODOLM_01121	247.079518714068	-0.803772836895218	0.215397871202269	-3.73157279785944	0.000190288002691259	0.000441048887593723
IODOLM_03181	9.67493444096518	2.65599735894124	0.712227640289131	3.72914109014785	0.000192133556530246	0.000445090758801671
IODOLM_03008	56.5158702845428	1.12958464047762	0.302942628476525	3.7287081258858	0.000192463915499848	0.000445620155675837
IODOLM_02376	983.997468428261	-0.52391711785952	0.140519739713787	-3.72842362878443	0.000192681282090068	0.00044588751476792
IODOLM_00773	357.612540354442	-0.654505224204517	0.175961512770202	-3.71959307407907	0.000199544006234988	0.000461524614843715
IODOLM_01476	209.075854157345	0.623470713141733	0.167667034527248	3.71850504125432	0.000200405293602871	0.000463271825042875
IODOLM_03988	3977.45412139155	0.875307053742884	0.23548786517262	3.71699430499851	0.000201606986065003	0.000465803680581022
IODOLM_01816	322.548746287696	-0.540383941108914	0.145395350852131	-3.71665213462356	0.000201880098988969	0.000466188555765556
IODOLM_01733	435.005877630273	0.536182196574604	0.144288493687395	3.71604265088704	0.000202367436740696	0.000467067459481691
IODOLM_01815	3246.5852262008	0.891872870424035	0.240198567989496	3.71306489413807	0.000204764355442998	0.000472350458312367
IODOLM_04181	7.85378436721928	3.15409426141843	0.849518493084655	3.71280235462057	0.000204976958645029	0.000472591765558824
IODOLM_02317	132.750468849716	-0.978944898010626	0.26386036115942	-3.71008700855663	0.000207188028393808	0.000477438026461982
IODOLM_02824	86.0428735041224	1.03957035729122	0.280561800764287	3.70531681240746	0.000211126673210348	0.000486258064193939
IODOLM_02513	118.98627959909	-0.769038429901397	0.207579509537377	-3.70478970499216	0.000211566182388747	0.000487014000070046
IODOLM_00462	42.9237208139618	-1.10605628652543	0.298645597678019	-3.70357472243041	0.000212582526004857	0.0004890962848566
IODOLM_02761	6699.95843358216	0.538663909221603	0.145498721637109	3.70218997913325	0.000213746466081587	0.000491515783275367
